MY_COLOR,IN_FEN,OUT_FORMAT,OUT_STANDARD
BLACK,r2qk2r/4ppbp/p1np1np1/1ppN1b2/2P5/1P1PPN2/PBQ2PPP/2KR1B1R b kq - 1 10,O-O,e8g8
BLACK,r2q1rk1/4ppbp/p1np1Np1/1pp2b2/2P5/1P1PPN2/PBQ2PPP/2KR1B1R b - - 0 11,e7f6,e7f6
BLACK,r2q1rk1/5pbp/p1np1pp1/1pp2b2/2P5/1P1PPN2/PBQ2PPP/1K1R1B1R b - - 1 12,c6b4,c6b4
BLACK,r2q1rk1/5pbp/p2p1pp1/1pp2b2/1nP5/1P1PPN2/PB1Q1PPP/1K1R1B1R b - - 3 13,b5c4,b5c4
BLACK,r2q1rk1/5pbp/p2p1pp1/2p2b2/1np1P3/1P1P1N2/PB1Q1PPP/1K1R1B1R b - - 0 14,f5d7,f5d7
BLACK,r2q1rk1/3b1pbp/p2p1pp1/2p5/1nP1P3/1P3N2/PB1Q1PPP/1K1R1B1R b - - 0 15,d7c6,d7c6
BLACK,r2q1rk1/5pbp/p1bp1pp1/2p5/1nP1P3/1P3N2/PB1Q1PPP/1K2RB1R b - - 2 16,f8e8,f8e8
BLACK,r2qr1k1/5pbp/p1bp1pp1/2p5/1nP1P3/PP3N2/1B1Q1PPP/1K2RB1R b - - 0 17,c6e4,c6e4
BLACK,r2qr1k1/5pbp/p2p1pp1/2p5/1nP1R3/PP3N2/1B1Q1PPP/1K3B1R b - - 0 18,e8e4,e8e4
BLACK,r2q2k1/5pbp/p2p1pp1/2p5/1PP1r3/1P3N2/1B1Q1PPP/1K3B1R b - - 0 19,c5b4,c5b4
BLACK,r2q2k1/5pbp/p2p1pp1/8/1pP1r3/1P1B1N2/1B1Q1PPP/1K5R b - - 1 20,e4e7,e4e7
BLACK,r2q2k1/4rpbp/p2p1pp1/8/1QP5/1P1B1N2/1B3PPP/1K5R b - - 0 21,a8b8,a8b8
BLACK,1r1q2k1/4rpbp/p2p1pp1/8/Q1P5/1P1B1N2/1B3PPP/1K5R b - - 2 22,e7b7,e7b7
BLACK,1r1q2k1/1r3pbp/p2p1pp1/8/Q1P5/1P3N2/1BB2PPP/1K5R b - - 4 23,f6f5,f6f5
BLACK,1r1q2k1/1r3pBp/p2p2p1/5p2/Q1P5/1P3N2/2B2PPP/1K5R b - - 0 24,g8g7,g8g7
BLACK,1r1q4/1r3pkp/p2p2p1/5p2/Q1P5/1P3N2/2B2PPP/1K1R4 b - - 1 25,d8f6,d8f6
BLACK,1r6/1r3pkp/p2p1qp1/5p2/2P5/1P3N2/2B2PPP/QK1R4 b - - 3 26,b7b6,b7b6
BLACK,1r6/5pkp/pr1p1Qp1/5p2/2P5/1P3N2/2B2PPP/1K1R4 b - - 0 27,g7f6,g7f6
BLACK,1r6/5p1p/pr1p1kp1/5p2/2P5/1P3N2/1KB2PPP/3R4 b - - 1 28,a6a5,a6a5
BLACK,1r6/5p1p/1r1p1kp1/p4p2/2P5/1PK2N2/2B2PPP/3R4 b - - 1 29,b8c8,b8c8
BLACK,2r5/5p1p/1r1p1kp1/p4p2/2P5/1PK2N1P/2B2PP1/3R4 b - - 0 30,h7h5,h7h5
BLACK,2r5/5p2/1r1p1kp1/p4p1p/2PN4/1PK4P/2B2PP1/3R4 b - - 1 31,d6d5,d6d5
BLACK,2r5/5p2/1r3kp1/p2p1p1p/2PN4/1PK4P/2B2PP1/R7 b - - 1 32,c8c5,c8c5
BLACK,8/5p2/1r3kp1/p1rp1p1p/2P5/1PK2N1P/2B2PP1/R7 b - - 3 33,d5c4,d5c4
BLACK,8/5p2/1r3kp1/p1r2p1p/2P5/2K2N1P/2B2PP1/R7 b - - 0 34,b6b8,b6b8
BLACK,1r6/5p2/5kp1/p1r2p1p/2P5/2K4P/2B2PP1/R3N3 b - - 2 35,b8c8,b8c8
BLACK,2r5/5p2/5kp1/p1r2p1p/2P5/1BK4P/5PP1/R3N3 b - - 4 36,h5h4,h5h4
BLACK,2r5/5p2/5kp1/p1r2p2/2P4p/1BKN3P/5PP1/R7 b - - 1 37,c5d5,c5d5
BLACK,2r5/5p2/5kp1/p1Pr1p2/7p/1BKN3P/5PP1/R7 b - - 0 38,d5c5,d5c5
BLACK,2r5/5p2/5kp1/p1N2p2/7p/1BK4P/5PP1/R7 b - - 0 39,c8c5,c8c5
BLACK,8/5p2/5kp1/p1r2p2/2B4p/2K4P/5PP1/R7 b - - 1 40,c5e5,c5e5
BLACK,8/5p2/5kp1/p3rp2/2B4p/2K4P/R4PP1/8 b - - 3 41,g6g5,g6g5
BLACK,8/5p2/5k2/p3rpp1/2B4p/2K4P/4RPP1/8 b - - 1 42,e5e2,e5e2
BLACK,8/5p2/5k2/p4pp1/7p/2K4P/4BPP1/8 b - - 0 43,f6e5,f6e5
BLACK,8/5p2/8/p3kpp1/2K4p/7P/4BPP1/8 b - - 2 44,a5a4,a5a4
BLACK,8/5p2/8/4kpp1/pK5p/7P/4BPP1/8 b - - 1 45,e5d4,e5d4
BLACK,8/5p2/8/5pp1/K2k3p/7P/4BPP1/8 b - - 0 46,d4c3,d4c3
BLACK,8/5p2/8/5pp1/K4P1p/2k4P/4B1P1/8 b - - 0 47,f7f6,f7f6
BLACK,8/8/5p2/1K3pp1/5P1p/2k4P/4B1P1/8 b - - 1 48,c3d4,c3d4
BLACK,8/8/5p2/1K3pp1/3k1P1p/7P/6P1/3B4 b - - 3 49,d4e3,d4e3
BLACK,8/8/5p2/1K3pP1/7p/4k2P/6P1/3B4 b - - 0 50,f6g5,f6g5
BLACK,8/8/8/1K3pp1/7p/4kB1P/6P1/8 b - - 1 51,e3f4,e3f4
BLACK,8/8/8/1K3ppB/5k1p/7P/6P1/8 b - - 3 52,f4g3,f4g3
BLACK,8/8/6B1/1K3pp1/7p/6kP/6P1/8 b - - 5 53,g3f4,g3f4
BLACK,8/5B2/8/1K3pp1/5k1p/7P/6P1/8 b - - 7 54,g5g4,g5g4
BLACK,8/8/8/1K1B1p2/5kpp/7P/6P1/8 b - - 1 55,f4g3,f4g3
BLACK,8/8/8/2KB1p2/6pp/6kP/6P1/8 b - - 3 56,g4h3,g4h3
BLACK,8/8/8/2KB1p2/7p/6kP/8/8 b - - 0 57,g3h3,g3h3
BLACK,8/8/4B3/2K2p2/7p/7k/8/8 b - - 1 58,h3g4,h3g4
BLACK,8/8/4B3/5p2/3K2kp/8/8/8 b - - 3 59,g4f4,g4f4
BLACK,8/8/4B3/5p2/5k1p/3K4/8/8 b - - 5 60,f4e5,f4e5
WHITE,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,e2e4
WHITE,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g2g3,g2g3
WHITE,rnbqkbnr/ppp1pp1p/3p2p1/8/4P3/6P1/PPPP1P1P/RNBQKBNR w KQkq - 0 3,f1g2,f1g2
WHITE,rnbqk1nr/ppp1ppbp/3p2p1/8/4P3/6P1/PPPP1PBP/RNBQK1NR w KQkq - 2 4,g1e2,g1e2
WHITE,rnbqk2r/ppp1ppbp/3p1np1/8/4P3/6P1/PPPPNPBP/RNBQK2R w KQkq - 4 5,O-O,e1g1
WHITE,rnbq1rk1/ppp1ppbp/3p1np1/8/4P3/6P1/PPPPNPBP/RNBQ1RK1 w - - 6 6,d2d4,d2d4
WHITE,rnbq1rk1/pppnppbp/3p2p1/8/3PP3/6P1/PPP1NPBP/RNBQ1RK1 w - - 1 7,c2c4,c2c4
WHITE,rnbqr1k1/pppnppbp/3p2p1/8/2PPP3/6P1/PP2NPBP/RNBQ1RK1 w - - 1 8,f2f4,f2f4
WHITE,rnbqrnk1/ppp1ppbp/3p2p1/8/2PPPP2/6P1/PP2N1BP/RNBQ1RK1 w - - 1 9,f4f5,f4f5
WHITE,rnbqrnk1/ppp2pbp/3p2p1/4pP2/2PPP3/6P1/PP2N1BP/RNBQ1RK1 w - e6 0 10,d4d5,d4d5
WHITE,r1bqrnk1/ppp2pbp/n2p2p1/3PpP2/2P1P3/6P1/PP2N1BP/RNBQ1RK1 w - - 1 11,b1c3,b1c3
WHITE,r1bqrnk1/ppp2pbp/3p2p1/2nPpP2/2P1P3/2N3P1/PP2N1BP/R1BQ1RK1 w - - 3 12,b2b4,b2b4
WHITE,r1bqrnk1/pppn1pbp/3p2p1/3PpP2/1PP1P3/2N3P1/P3N1BP/R1BQ1RK1 w - - 1 13,a2a3,a2a3
WHITE,r1bqrnk1/pppn1pbp/3p4/3Ppp2/1PP1P3/P1N3P1/4N1BP/R1BQ1RK1 w - - 0 14,e4f5,e4f5
