INDEX,COLOR,OUT_INDEX,OUTPUT_DATA_REL,OUTPUT_DATA_FMT,OUTPUT_DATA_RAW
1085,WHITE,271,e2e3,e2e3,e2e3
1086,WHITE,1533,c3b5,c3b5,c3b5
1087,WHITE,294,f2f3,f2f3,f2f3
1088,WHITE,77,d1d2,d1d2,d1d2
1089,WHITE,99,e1d2,e1d2,e1d2
1090,WHITE,670,f4e5,f4e5,f4e5
1091,WHITE,225,c2c3,c2c3,c2c3
1092,BLACK,291,f2f4,c7c5,c7c5
1093,BLACK,1480,g1f3,b8c6,b8c6
1094,BLACK,202,b2b3,g7g6,g7g6
1095,BLACK,57,c1b2,f8g7,f8g7
1096,BLACK,271,e2e3,d7d6,d7d6
1097,BLACK,222,c2c4,f7f5,f7f5
1098,BLACK,181,a2a3,h7h6,h7h6
1099,BLACK,380,b3b4,g6g5,g6g5
1100,BLACK,120,f1e2,c8d7,c8d7
1101,BLACK,339,h2h3,a7a6,a7a6
1102,BLACK,248,d2d3,e7e6,e7e6
1103,BLACK,1460,b1c3,g8f6,g8f6
1104,BLACK,1,O-O,O-O,e8g8
1105,BLACK,163,h1g1,a8b8,a8b8
1106,BLACK,314,g2g4,b7b5,b7b5
1107,BLACK,566,b4b5,g5g4,g5g4
1108,BLACK,526,h3g4,a6b5,a6b5
1109,BLACK,454,e3e4,d6d5,d6d5
1110,BLACK,693,g4g5,b5b4,b5b4
1111,BLACK,99,e1d2,d8e7,d8e7
1112,BLACK,669,f4f5,c5c4,c5c4
1113,BLACK,642,e4f5,d5c4,d5c4
1114,BLACK,60,c1f1,f8c8,f8c8
1115,BLACK,257,d2e1,e7d8,e7d8
1116,BLACK,882,g5h6,b4a3,b4a3
1117,BLACK,1558,f3h4,c6a5,c6a5
1118,BLACK,1623,h4f5,a5c4,a5c4
1119,BLACK,264,e2h5,d7a4,d7a4
1120,BLACK,123,f1e1,c8d8,c8d8
1121,BLACK,1664,f5h4,c4a5,c4a5
1122,BLACK,1622,h4g6,a5b3,a5b3
1123,BLACK,430,d3c4,e6f5,e6f5
1124,BLACK,211,b2c1,g7f8,g7f8
1125,BLACK,144,g1e1,b8d8,b8d8
1126,BLACK,50,c1f4,f8c5,f8c5
1127,BLACK,86,e1e8,d8d1,d8d1
1128,BLACK,1722,g6e7,b3d2,b3d2
1129,WHITE,245,d2d4,d2d4,d2d4
1130,WHITE,50,c1f4,c1f4,c1f4
1131,WHITE,294,f2f3,f2f3,f2f3
1132,WHITE,314,g2g4,g2g4,g2g4
1133,WHITE,225,c2c3,c2c3,c2c3
1134,WHITE,271,e2e3,e2e3,e2e3
1135,WHITE,678,f4g3,f4g3,f4g3
1136,WHITE,337,h2h4,h2h4,h2h4
1137,WHITE,403,c3d4,c3d4,c3d4
1138,WHITE,97,e1f2,e1f2,e1f2
1139,WHITE,75,d1b3,d1b3,d1b3
1140,WHITE,1460,b1c3,b1c3,b1c3
1141,WHITE,693,g4g5,g4g5,g4g5
1142,WHITE,180,a2b3,a2b3,a2b3
1143,WHITE,1532,c3d5,c3d5,c3d5
1144,WHITE,293,f2g3,f2g3,f2g3
1145,WHITE,1648,d5f4,d5f4,d5f4
1146,WHITE,13,a1a3,a1a3,a1a3
1147,WHITE,114,f1c4,f1c4,f1c4
1148,WHITE,715,h4h5,h4h5,h4h5
1149,WHITE,161,h1h2,h1h2,h1h2
1150,WHITE,1611,f4d5,f4d5,f4d5
1151,WHITE,905,h5h6,h5h6,h5h6
1152,WHITE,1481,g1e2,g1e2,g1e2
1153,WHITE,454,e3e4,e3e4,e3e4
1154,WHITE,591,c4b5,c4b5,c4b5
1155,WHITE,1648,d5f4,d5f4,d5f4
1156,WHITE,643,e4e5,e4e5,e4e5
1157,WHITE,1609,f4e6,f4e6,f4e6
1158,WHITE,1503,e2f4,e2f4,e2f4
